2024-06-05 14:42:29,001 INFO    StreamThr :325903 [internal.py:wandb_internal():88] W&B internal server running at pid: 325903, started at: 2024-06-05 14:42:29.001307
2024-06-05 14:42:29,003 DEBUG   HandlerThread:325903 [handler.py:handle_request():139] handle_request: status
2024-06-05 14:42:29,003 DEBUG   SenderThread:325903 [sender.py:send_request():317] send_request: status
2024-06-05 14:42:29,004 INFO    WriterThread:325903 [datastore.py:open_for_write():75] open: /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/offline-run-20240605_144228-276qf8nm/run-276qf8nm.wandb
2024-06-05 14:42:29,011 DEBUG   HandlerThread:325903 [handler.py:handle_request():139] handle_request: run_start
2024-06-05 14:42:29,014 DEBUG   HandlerThread:325903 [system_info.py:__init__():31] System info init
2024-06-05 14:42:29,014 DEBUG   HandlerThread:325903 [system_info.py:__init__():46] System info init done
2024-06-05 14:42:29,014 INFO    HandlerThread:325903 [system_monitor.py:start():150] Starting system monitor
2024-06-05 14:42:29,014 INFO    SystemMonitor:325903 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-06-05 14:42:29,014 INFO    HandlerThread:325903 [system_monitor.py:probe():168] Collecting system info
2024-06-05 14:42:29,014 INFO    SystemMonitor:325903 [interfaces.py:start():168] Started cpu
2024-06-05 14:42:29,014 INFO    SystemMonitor:325903 [interfaces.py:start():168] Started disk
2024-06-05 14:42:29,015 INFO    SystemMonitor:325903 [interfaces.py:start():168] Started gpu
2024-06-05 14:42:29,015 INFO    SystemMonitor:325903 [interfaces.py:start():168] Started memory
2024-06-05 14:42:29,016 INFO    SystemMonitor:325903 [interfaces.py:start():168] Started network
2024-06-05 14:42:29,059 DEBUG   HandlerThread:325903 [system_info.py:probe():195] Probing system
2024-06-05 14:42:29,060 DEBUG   HandlerThread:325903 [system_info.py:_probe_git():180] Probing git
2024-06-05 14:42:29,063 DEBUG   HandlerThread:325903 [system_info.py:_probe_git():188] Probing git done
2024-06-05 14:42:29,063 DEBUG   HandlerThread:325903 [system_info.py:probe():241] Probing system done
